ID,Company Name,Industry,Location,VR Potential Score (%),Status
772,HBA/Hirsch Bedner Associates,design,"Singapore, Singapore",99,New
773,Hello Health Group,information technology & services,"Singapore, Singapore",87,New
774,HRnetOne,human resources,"Singapore, Singapore",70,New
775,Solarvest,renewables & environment,"Petaling Jaya, Malaysia",86,New
776,SME Bank Malaysia,financial services,"Kuala Lumpur, Malaysia",66,New
777,Trangile Services,information technology & services,"Singapore, Singapore",82,New
778,Zuellig Pharma Malaysia,pharmaceuticals,"Shah Alam, Malaysia",79,New
779,Hyphens Pharma International Ltd.,pharmaceuticals,"Singapore, Singapore",73,New
780,Safeair Malaysia,airlines/aviation,"Sepang, Malaysia",95,New
781,Pos Malaysia Berhad,package/freight delivery,"Kuala Lumpur, Malaysia",67,New
782,Setegap Ventures Petroleum Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",93,New
783,Elabram Group,human resources,Malaysia,97,New
784,Wego.com,"leisure, travel & tourism","Singapore, Singapore",77,New
785,Hengli Petrochemical International Pte. Ltd.,oil & energy,"Singapore, Singapore",76,New
786,CTC Global Pte Ltd,information technology & services,"Singapore, Singapore",82,New
787,"Consortium for Clinical Research and Innovation, Singapore (CRIS)",hospital & health care,"Singapore, Singapore",89,New
788,Tiong Seng Contractors (Pte) Ltd,construction,"Singapore, Singapore",99,New
789,respond.io,information technology & services,"Kuala Lumpur, Malaysia",74,New
790,Canon Singapore,information technology & services,"Singapore, Singapore",66,New
791,Tohtonku,mechanical or industrial engineering,"Petaling Jaya, Malaysia",74,New
792,ORA,"health, wellness & fitness","Singapore, Singapore",78,New
793,Pilot Construction Sdn Bhd,civil engineering,"Shah Alam, Malaysia",78,New
794,ELITE Solar,renewables & environment,"Singapore, Singapore",81,New
795,Etiqa Insurance and Takaful,financial services,"Kuala Lumpur, Malaysia",93,New
796,Phoenix Contact (SEA),machinery,"Singapore, Singapore",64,New
797,SILICON BOX,semiconductors,"Singapore, Singapore",64,New
798,Lam Soon Edible Oils Sdn Bhd,food production,"Shah Alam, Malaysia",79,New
799,Abhidi Solution,information technology & services,"Kuala Lumpur, Malaysia",74,New
800,Lidl Asia Pte. Limited,retail,"Singapore, Singapore",90,New
801,Azentio,information technology & services,"Singapore, Singapore",78,New
802,Rajah & Tann Asia,law practice,"Singapore, Singapore",69,New
803,Gene Solutions,research,"Singapore, Singapore",82,New
804,Talent Trader Group,human resources,"Singapore, Singapore",75,New
805,JB Cocoa,food production,"Singapore, Singapore",97,New
806,CPG Corporation,architecture & planning,"Singapore, Singapore",85,New
807,Aroona Solutions Group,oil & energy,"Kuala Lumpur, Malaysia",89,New
808,Brunsfield International Group,real estate,"Kuala Lumpur, Malaysia",96,New
809,SilTerra Malaysia Sdn. Bhd.,semiconductors,"Kulim, Malaysia",76,New
810,U Mobile,telecommunications,"Kuala Lumpur, Malaysia",91,New
811,Universiti Utara Malaysia,government administration,"Bukit Kayu Hitam, Malaysia",71,New
812,Yoda Tech,information technology & services,"Singapore, Singapore",96,New
813,Malaysia Rail Link Sdn Bhd (MRL),Rail transportation,"Kuala Lumpur, Malaysia",72,New
814,Jamco Singapore Pte Ltd,airlines/aviation,"Singapore, Singapore",88,New
815,Temasek Foundation,nonprofit organization management,"Singapore, Singapore",97,New
816,AeroDarat,airlines/aviation,"Sepang, Malaysia",73,New
817,Advanced MedTech,medical devices,"Singapore, Singapore",77,New
818,Apar Technologies,information technology & services,"Singapore, Singapore",79,New
819,Ben Line Group,maritime,"Singapore, Singapore",83,New
820,AEM,electrical/electronic manufacturing,"Singapore, Singapore",60,New
821,Ola Chat,information technology & services,"Singapore, Singapore",66,New
822,Westports Malaysia,maritime,"Port Klang, Malaysia",69,New
823,MMC GAMUDA KVMRT (T) SDN BHD,construction,"Kuala Lumpur, Malaysia",68,New
824,Daikin Airconditioning (Singapore) Pte. Ltd.,electrical/electronic manufacturing,"Singapore, Singapore",86,New
825,Honda Malaysia Sdn. Bhd.,automotive,"Alor Gajah, Malaysia",81,New
826,Kacific Broadband Satellites Group,telecommunications,"Singapore, Singapore",85,New
827,Institute of Singapore Chartered Accountants (ISCA),accounting,"Singapore, Singapore",90,New
828,CYBERTEQ,information technology & services,"Singapore, Singapore",92,New
829,Watsons Malaysia,retail,"Kuala Lumpur, Malaysia",93,New
830,Energy Workforce Group,oil & energy,"Kuala Lumpur, Malaysia",70,New
831,Gadang Group of Companies,construction,"Petaling Jaya, Malaysia",65,New
832,CPP Petroleum Engineering (M) Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",68,New
833,Fullerton Health,hospital & health care,"Singapore, Singapore",91,New
834,Parcel Perform,information technology & services,"Singapore, Singapore",70,New
835,reach52,hospital & health care,"Singapore, Singapore",97,New
836,Web Synergies,information technology & services,"Singapore, Singapore",66,New
837,Jungle Ventures,venture capital & private equity,"Singapore, Singapore",82,New
838,Prime Quality Training,professional training & coaching,"Singapore, Singapore",68,New
839,Khoo Teck Puat Hospital,hospital & health care,"Singapore, Singapore",84,New
840,X-Press Feeders,maritime,"Singapore, Singapore",76,New
841,The China Navigation Company,maritime,"Singapore, Singapore",94,New
842,SCI Group,information technology & services,"Singapore, Singapore",77,New
843,Daikin Malaysia Sdn Bhd,machinery,"Sungai Buloh, Malaysia",76,New
844,SUPCON,machinery,"Singapore, Singapore",96,New
845,Everstone Group,venture capital & private equity,"Singapore, Singapore",93,New
846,Hyperwave Systems Engineering Sdn Bhd,oil & energy,"Kota Kinabalu, Malaysia",60,New
847,MariApps Marine Solutions,information technology & services,"Singapore, Singapore",97,New
848,Veolia | Water Tech Asia Pacific,environmental services,"Kuala Lumpur, Malaysia",69,New
849,ESSEM GROUP,oil & energy,"Skudai, Malaysia",82,New
850,Malayan Flour Mills Berhad,food production,"Kuala Lumpur, Malaysia",67,New
851,Frencken Mechatronics (M) Sdn Bhd,machinery,"Bandar Baru Bangi, Malaysia",83,New
852,Income Insurance Limited,insurance,"Singapore, Singapore",83,New
853,Crescent Engineering (M) Sdn Bhd,oil & energy,"Kapar, Malaysia",75,New
854,Neovation Consultancy Services,management consulting,"Singapore, Singapore",85,New
855,Aleph-Labs,information technology & services,"Singapore, Singapore",70,New
856,Sembawang Shipyard,maritime,"Singapore, Singapore",73,New
857,StarHub,telecommunications,"Singapore, Singapore",66,New
858,XERAFY,semiconductors,"Singapore, Singapore",74,New
859,Cybermarine,maritime,"Singapore, Singapore",68,New
860,Jiva,information technology & services,"Singapore, Singapore",63,New
861,Inivos,information technology & services,"Singapore, Singapore",88,New
862,AVPN,nonprofit organization management,"Singapore, Singapore",84,New
863,Sime UMW,mechanical or industrial engineering,"Kuala Lumpur, Malaysia",64,New
864,Wee Guan Construction,construction,"Singapore, Singapore",60,New
865,Integrity,staffing & recruiting,"Singapore, Singapore",60,New
866,MTQ Engineering Pte Ltd,oil & energy,"Singapore, Singapore",95,New
867,Singapore Petroleum Company Limited,oil & energy,"Singapore, Singapore",79,New
868,IHH HEALTHCARE SINGAPORE,hospital & health care,"Singapore, Singapore",60,New
869,TNBResearch,research,"Bandar Baru Bangi, Malaysia",90,New
870,Inter-Continental Oils and Fats (ICOF),international trade & development,"Singapore, Singapore",86,New
871,CITAGLOBAL BERHAD,investment management,"Kuala Lumpur, Malaysia",82,New
872,East Ventures,venture capital & private equity,"Singapore, Singapore",90,New
873,Ensign InfoSecurity,computer & network security,"Singapore, Singapore",79,New
874,MFE Formwork Technology,construction,"Rawang, Malaysia",93,New
875,Zentact Systems,information technology & services,"Kuala Lumpur, Malaysia",74,New
876,HRSB Engineering & Construction Sdn Bhd,oil & energy,Malaysia,85,New
877,Quadrant.io (exited to Appen ASX:APX),information technology & services,"Singapore, Singapore",98,New
878,SINGATAC,oil & energy,"Singapore, Singapore",68,New
879,TF-AMD Penang,semiconductors,"Bayan Lepas, Malaysia",60,New
880,Dornier MedTech,medical devices,"Singapore, Singapore",75,New
881,ERS Energy Sdn Bhd,renewables & environment,"Kuala Lumpur, Malaysia",63,New
882,Docquity,information technology & services,"Singapore, Singapore",69,New
883,Vertex Holdings,venture capital & private equity,"Singapore, Singapore",60,New
884,Sapura Secured Technologies,information technology & services,"Kuala Lumpur, Malaysia",72,New
885,Lotus's Malaysia,retail,"Kuala Lumpur, Malaysia",87,New
886,Taylor's University,higher education,"Subang Jaya, Malaysia",86,New
887,MBSB Bank Berhad,banking,"Petaling Jaya, Malaysia",65,New
888,EP Plus Group,pharmaceuticals,"Kuala Lumpur, Malaysia",70,New
889,Amethyst Partners,staffing & recruiting,"Singapore, Singapore",78,New
890,Hilti Singapore,construction,"Singapore, Singapore",74,New
891,"Alexandra Hospital, Singapore",hospital & health care,"Singapore, Singapore",97,New
892,Global Schools Group,government administration,"Singapore, Singapore",96,New
893,Bridgestone Asia Pacific,automotive,"Singapore, Singapore",96,New
894,"Malaysia Automotive, Robotics and IoT Institute (MARii)",government administration,"Cyberjaya, Malaysia",94,New
895,Larsen Oil and Gas Pte Ltd,oil & energy,"Singapore, Singapore",73,New
896,Neptune Pacific Direct Line,maritime,"Singapore, Singapore",91,New
897,M1 Limited,telecommunications,"Singapore, Singapore",87,New
898,Proton New Energy Technology Sdn Bhd,automotive,"Subang Jaya, Malaysia",96,New
899,HollySys Automation Technologies,machinery,"Singapore, Singapore",91,New
900,Universiti Teknikal Malaysia Melaka,higher education,"Durian Tunggal, Malaysia",81,New
901,BDO Malaysia,accounting,"Kuala Lumpur, Malaysia",63,New
902,Nova Buildings Group,construction,"Singapore, Singapore",98,New
903,STATS ChipPAC,semiconductors,"Singapore, Singapore",60,New
904,Patsnap,information technology & services,"Singapore, Singapore",83,New
905,Ramsay Sime Darby Healthcare (CLOSED),hospital & health care,"Shah Alam, Malaysia",79,New
906,MAMEE-Double Decker (M) Sdn Bhd,food production,"Subang Jaya, Malaysia",90,New
907,Setel,information technology & services,"Kuala Lumpur, Malaysia",90,New
908,WIZ.AI,information technology & services,"Singapore, Singapore",98,New
909,Asia Group Advisors,government relations,"Singapore, Singapore",63,New
910,Pacific Energy,oil & energy,"Singapore, Singapore",60,New
911,Singapore Business Federation,international trade & development,"Singapore, Singapore",98,New
912,LHN Limited,real estate,"Singapore, Singapore",66,New
913,Taylor's College,higher education,"Kuala Lumpur, Malaysia",86,New
914,JustCo,real estate,"Singapore, Singapore",70,New
915,Persafe Engineering Sdn. Bhd.,oil & energy,"Bintulu, Malaysia",69,New
916,Homage,hospital & health care,"Singapore, Singapore",86,New
917,KK Women's and Children's Hospital,hospital & health care,"Singapore, Singapore",74,New
918,Merkle Singapore,marketing & advertising,"Singapore, Singapore",96,New
919,GrowthFn,human resources,"Kuala Lumpur, Malaysia",73,New
920,Penang Skills Development Centre,government administration,"Bayan Lepas, Malaysia",86,New
921,Validus Group,financial services,"Singapore, Singapore",64,New
922,SG Enable,civic & social organization,"Singapore, Singapore",88,New
923,PH Hydraulics & Engineering Pte Ltd,oil & energy,"Singapore, Singapore",62,New
924,Sentosa Development Corporation,hospitality,"Singapore, Singapore",81,New
925,Ryde,information technology & services,"Singapore, Singapore",91,New
926,Singapore International Foundation,nonprofit organization management,"Singapore, Singapore",97,New
927,AME International Pte Ltd,mechanical or industrial engineering,"Singapore, Singapore",64,New
928,ComfortDelGro,logistics & supply chain,"Singapore, Singapore",97,New
929,Guan Ho Construction Co (Pte) Ltd,construction,"Singapore, Singapore",67,New
930,MIE-ENERGY,oil & energy,"Kuala Lumpur, Malaysia",77,New
931,Dada Consultants,human resources,"Singapore, Singapore",82,New
932,TMK Chemical Bhd.,chemicals,"Petaling Jaya, Malaysia",94,New
933,Royce Pharma Manufacturing Sdn Bhd,pharmaceuticals,"Nilai, Malaysia",98,New
934,Cloudologic,information technology & services,"Singapore, Singapore",90,New
935,Dragages Singapore Pte Ltd,construction,"Singapore, Singapore",92,New
936,Norstar Group of Companies,maritime,"Singapore, Singapore",82,New
937,Tee Yih Jia Food Manufacturing Pte Ltd,food production,"Singapore, Singapore",60,New
938,TRT,information technology & services,"Singapore, Singapore",67,New
939,Cloud Kinetics,information technology & services,"Singapore, Singapore",84,New
940,CCECC,civil engineering,"Singapore, Singapore",75,New
941,MKRS GROUP OF COMPANIES,construction,"Kajang, Malaysia",93,New
942,BDO Singapore,accounting,"Singapore, Singapore",79,New
943,Tat Hong,machinery,"Singapore, Singapore",66,New
944,PETRONAS Lubricants Marketing Malaysia Sdn. Bhd.,oil & energy,"Kuala Lumpur, Malaysia",90,New
945,IPOS International,management consulting,"Singapore, Singapore",91,New
946,Asia Pacific Breweries Singapore (Part of The HEINEKEN Company),food & beverages,"Singapore, Singapore",79,New
947,Mewah Group,food & beverages,"Singapore, Singapore",60,New
948,McPEC Marine & Offshore Engineering Pte Ltd,oil & energy,"Singapore, Singapore",97,New
949,Genius Group Limited,education management,"Singapore, Singapore",97,New
950,Pacific Inter-Link (PIL),mechanical or industrial engineering,Malaysia,91,New
951,KJ Engineering Sdn Bhd,machinery,"Kuala Lumpur, Malaysia",67,New
952,Hillhouse Investment,investment management,"Singapore, Singapore",91,New
953,Kim Seng Heng Engineering Construction Pte Ltd,construction,"Singapore, Singapore",88,New
954,Cittabase Solutions,information technology & services,"Singapore, Singapore",95,New
955,MindPeers,mental health care,"Singapore, Singapore",82,New
956,Universiti Malaysia Perlis,research,"Arau, Malaysia",71,New
957,MOH Office for Healthcare Transformation (MOHT),"health, wellness & fitness","Singapore, Singapore",70,New
958,Positka,information technology & services,"Singapore, Singapore",73,New
959,BIPO,human resources,"Singapore, Singapore",82,New
960,RAPSYS TECHNOLOGIES PTE LTD,information technology & services,"Singapore, Singapore",82,New
961,Signia Hearing,medical devices,"Singapore, Singapore",93,New
962,NTI Nanofilm,mechanical or industrial engineering,"Singapore, Singapore",77,New
963,Eversendai Engineering Construction Private Limited,construction,"Subang Jaya, Malaysia",84,New
964,Karex,medical devices,"Pelabuhan Klang, Malaysia",82,New
965,Clearstate,information services,"Singapore, Singapore",81,New
966,XSEED Education,government administration,"Singapore, Singapore",96,New
967,StarCharge,electrical/electronic manufacturing,"Singapore, Singapore",77,New
968,Wilmar Consultancy Services,information technology & services,"Singapore, Singapore",69,New
969,Endowus,financial services,"Singapore, Singapore",97,New
970,HABLEM OIL & GAS (M) SDN BHD,oil & energy,"Skudai, Malaysia",63,New
971,Sivantos Group,medical devices,"Singapore, Singapore",77,New
972,Management Development Institute of Singapore,higher education,"Singapore, Singapore",61,New
973,TRANSWATER API  (157513-M),oil & energy,"Shah Alam, Malaysia",80,New
974,Skill Quotient,information technology & services,"Kuala Lumpur, Malaysia",76,New
975,#Web3,information technology & services,"Singapore, Singapore",86,New
976,igloo,electrical/electronic manufacturing,"Singapore, Singapore",88,New
977,Petronnic Sdn Bhd,oil & energy,"Kuala Lumpur, Malaysia",68,New
978,Mitsubishi Chemical Methacrylates,chemicals,"Singapore, Singapore",60,New
979,Adventus,information technology & services,"Singapore, Singapore",68,New
980,Energy Drilling,oil & energy,"Singapore, Singapore",94,New
981,Toyota Motor Asia,automotive,"Singapore, Singapore",90,New
982,Senai Airport Terminal Services,aviation & aerospace,"Senai, Malaysia",70,New
983,A*STAR Singapore Institute of Manufacturing Technology (A*STAR SIMTech),research,"Singapore, Singapore",92,New
984,Keppel Ltd.,financial services,"Singapore, Singapore",92,New
985,Prince Court Medical Centre Sdn Bhd (Official),hospital & health care,"Kuala Lumpur, Malaysia",92,New
986,HTX (Home Team Science & Technology Agency),government administration,"Singapore, Singapore",74,New
987,CompAsia,consumer services,"Singapore, Singapore",63,New
988,Executive Group,maritime,"Singapore, Singapore",92,New
989,Ubisoft Singapore,computer games,"Singapore, Singapore",76,New
990,Ocentra Offshore Pte Ltd,oil & energy,"Singapore, Singapore",72,New
991,Ditrolic Energy,utilities,Malaysia,75,New
992,TNG Digital,financial services,"Kuala Lumpur, Malaysia",60,New
993,Resilient Cities Network,civic & social organization,"Singapore, Singapore",61,New
994,DRB-HICOM Defence Technologies (DEFTECH),defense & space,"Shah Alam, Malaysia",79,New
995,Accuron Technologies Limited,mechanical or industrial engineering,"Singapore, Singapore",78,New
996,POKKA PTE LTD,food & beverages,"Singapore, Singapore",77,New
997,QL Resources Berhad,food production,"Shah Alam, Malaysia",97,New
998,Berjaya Air,airlines/aviation,"Subang Jaya, Malaysia",92,New
999,Bridge Data Centres,information technology & services,"Singapore, Singapore",63,New
1000,Interactive Cares,e-learning,"Singapore, Singapore",76,New
